countryName,age,gender,ruralUrban,educationLevel,fullTime,children,basicIncomeAwareness,countAwareness,basicIncomeVote,countVote,basicIncomeEffect,countEffect
Austria,40,male,urban,medium,yes,yes,I understand it fully,1,I would probably vote against it,0,I would gain additional skills,0
Austria,15,female,urban,no,no,no,I have heard just a little about it,0,I would probably vote for it,0,I would gain additional skills,0
Austria,25,female,rural,NA,yes,no,I know something about it,0,I would vote for it,0,I would do more volunteering work,0
Austria,27,male,rural,high,yes,no,I understand it fully,0,I would probably vote against it,0,A basic income would not affect my work choices,0
Austria,35,female,urban,medium,no,yes,I know something about it,0,I would probably vote for it,0,A basic income would not affect my work choices,1
Austria,48,male,rural,medium,yes,no,I have never heard of it,0,I would probably vote against it,0,A basic income would not affect my work choices,0
Austria,51,male,rural,low,no,yes,I know something about it,0,I would probably vote against it,0,A basic income would not affect my work choices,0
Austria,28,female,rural,medium,no,yes,I know something about it,0,I would probably vote against it,0,I would spend more time with my family,0
Austria,40,male,rural,NA,yes,yes,I have never heard of it,0,I would vote for it,0,I would gain additional skills,0
Austria,17,male,rural,low,no,no,I know something about it,0,I would probably vote for it,0,I would work less,0
Austria,35,female,urban,high,yes,no,I know something about it,0,I would probably vote against it,0,A basic income would not affect my work choices,1
Austria,25,male,urban,medium,no,no,I know something about it,0,I would probably vote against it,0,A basic income would not affect my work choices,0
Austria,42,male,urban,high,yes,no,I understand it fully,0,I would probably vote for it,0,I would spend more time with my family,0
Austria,37,male,rural,low,yes,yes,I have heard just a little about it,0,I would probably vote against it,0,A basic income would not affect my work choices,0
Austria,22,female,rural,medium,yes,no,I have heard just a little about it,0,I would probably vote against it,0,I would do more volunteering work,0
Austria,45,female,urban,high,yes,no,I know something about it,0,I would probably vote for it,0,I would work less,0
Austria,31,male,rural,low,no,no,I have heard just a little about it,0,I would vote against it,0,I would do more volunteering work,0
Austria,47,male,rural,low,yes,yes,I understand it fully,0,I would probably vote for it,0,A basic income would not affect my work choices,0
Austria,33,male,urban,high,no,yes,I know something about it,0,I would probably vote for it,0,A basic income would not affect my work choices,0
Austria,64,female,rural,low,no,yes,I have heard just a little about it,0,I would probably vote against it,0,I would gain additional skills,0
Austria,26,male,urban,medium,no,no,I have heard just a little about it,0,I would probably vote against it,0,None of the above,0
Austria,38,female,rural,low,yes,no,I have never heard of it,0,I would not vote,0,I would gain additional skills,0
Austria,35,female,rural,high,no,yes,I have heard just a little about it,1,I would probably vote for it,0,None of the above,0
Austria,55,male,urban,high,yes,no,I know something about it,0,I would vote against it,0,I would spend more time with my family,0
Austria,41,male,rural,low,no,no,I know something about it,0,I would not vote,0,I would work less,0
Austria,26,male,urban,high,yes,no,I know something about it,0,I would probably vote for it,1,A basic income would not affect my work choices,0
Austria,48,female,rural,high,yes,no,I understand it fully,0,I would vote for it,0,I would gain additional skills,0
Austria,64,male,urban,medium,no,yes,I understand it fully,0,I would vote against it,0,A basic income would not affect my work choices,0
Austria,24,male,urban,high,no,no,I have heard just a little about it,0,I would probably vote for it,0,None of the above,0
Austria,15,female,rural,low,no,no,I have heard just a little about it,0,I would vote against it,0,I would work less,0
Austria,49,male,rural,NA,yes,yes,I know something about it,0,I would probably vote for it,0,A basic income would not affect my work choices,0
Austria,23,male,rural,low,yes,no,I understand it fully,0,I would probably vote for it,0,I would spend more time with my family,0
Austria,36,male,urban,medium,no,no,I know something about it,0,I would vote for it,0,I would spend more time with my family,0
Austria,46,female,rural,NA,no,yes,I know something about it,0,I would vote for it,0,A basic income would not affect my work choices,0
Austria,27,male,rural,low,no,no,I understand it fully,0,I would probably vote for it,0,A basic income would not affect my work choices,0
Austria,26,male,urban,NA,no,no,I have heard just a little about it,0,I would vote for it,0,None of the above,0
Austria,18,male,rural,medium,yes,no,I have heard just a little about it,0,I would vote for it,0,I would work less,0
Austria,28,female,urban,low,yes,no,I have heard just a little about it,0,I would vote against it,0,I would do more volunteering work,0
Austria,44,female,rural,low,yes,yes,I have never heard of it,0,I would probably vote for it,0,I would look for a different job,0
Austria,25,female,rural,low,yes,no,I know something about it,0,I would probably vote against it,0,A basic income would not affect my work choices,0
Austria,15,male,urban,NA,no,no,I have never heard of it,0,I would probably vote for it,0,A basic income would not affect my work choices,0
Austria,20,male,urban,low,no,no,I know something about it,0,I would probably vote against it,0,A basic income would not affect my work choices,0
Austria,47,female,urban,no,no,yes,I have never heard of it,0,I would not vote,0,I would spend more time with my family,0
Austria,25,female,urban,medium,no,no,I know something about it,0,I would vote for it,0,None of the above,0
Austria,65,female,rural,high,yes,yes,I understand it fully,0,I would probably vote for it,0,I would gain additional skills,0
Austria,46,male,rural,medium,yes,yes,I know something about it,0,I would probably vote for it,0,A basic income would not affect my work choices,0
Austria,17,male,urban,low,no,no,I have heard just a little about it,0,I would probably vote for it,0,A basic income would not affect my work choices,0
Austria,21,male,urban,medium,yes,no,I understand it fully,0,I would vote against it,0,I would do more volunteering work,0
Austria,52,male,urban,low,yes,yes,I know something about it,0,I would probably vote against it,0,None of the above,0
Austria,26,male,urban,high,yes,no,I understand it fully,0,I would vote for it,1,A basic income would not affect my work choices,0
Austria,14,male,urban,low,no,no,I have never heard of it,0,I would vote for it,0,I would work as a freelancer,0
Austria,20,female,urban,medium,no,no,I have heard just a little about it,0,I would not vote,0,I would look for a different job,0
Austria,27,male,urban,no,yes,yes,I know something about it,0,I would probably vote for it,0,I would do more volunteering work,0
Austria,50,male,urban,medium,yes,yes,I have heard just a little about it,0,I would probably vote for it,0,None of the above,0
Austria,20,male,urban,NA,no,no,I understand it fully,0,I would probably vote against it,0,A basic income would not affect my work choices,0
Austria,34,female,urban,low,yes,yes,I have never heard of it,0,I would vote for it,0,None of the above,0
Austria,19,female,urban,high,no,no,I have heard just a little about it,0,I would not vote,0,I would work less,0
Austria,18,female,rural,high,no,no,I have heard just a little about it,0,I would probably vote against it,0,I would look for a different job,0
Austria,38,female,rural,low,no,yes,I have heard just a little about it,0,I would probably vote against it,0,None of the above,0
Austria,28,female,urban,medium,yes,yes,I know something about it,0,I would probably vote against it,0,I would do more volunteering work,0
Austria,26,female,urban,high,no,no,I have heard just a little about it,0,I would probably vote for it,0,I would look for a different job,0
Austria,46,male,rural,low,yes,yes,I know something about it,0,I would probably vote for it,0,A basic income would not affect my work choices,0
Austria,41,male,urban,low,yes,no,I know something about it,0,I would probably vote against it,0,I would spend more time with my family,0
Austria,43,male,rural,no,yes,yes,I know something about it,0,I would vote for it,0,I would spend more time with my family,0
Austria,26,female,rural,low,no,yes,I understand it fully,0,I would vote for it,0,A basic income would not affect my work choices,1
Austria,29,female,urban,high,yes,yes,I understand it fully,0,I would not vote,0,I would spend more time with my family,0
Austria,17,male,rural,low,no,no,I understand it fully,0,I would vote for it,0,I would gain additional skills,0
Austria,23,female,urban,medium,no,yes,I have never heard of it,0,I would vote for it,0,I would look for a different job,0
Austria,36,female,rural,medium,yes,yes,I have heard just a little about it,0,I would probably vote for it,0,I would gain additional skills,0
Austria,34,female,urban,low,yes,yes,I know something about it,0,I would vote for it,0,A basic income would not affect my work choices,0
Austria,27,male,rural,high,yes,no,I know something about it,0,I would vote against it,0,A basic income would not affect my work choices,0
Austria,15,male,rural,low,yes,no,I know something about it,1,I would probably vote against it,0,I would gain additional skills,0
Austria,14,male,urban,NA,no,no,I have never heard of it,0,I would not vote,0,I would gain additional skills,0
Austria,21,male,urban,medium,yes,no,I know something about it,0,I would probably vote against it,0,None of the above,0
Austria,24,female,urban,medium,yes,no,I have heard just a little about it,0,I would vote for it,0,I would gain additional skills,0
Austria,23,female,urban,medium,yes,no,I have never heard of it,0,I would vote for it,0,I would work less,0
Austria,14,female,rural,low,no,no,I have heard just a little about it,0,I would not vote,0,A basic income would not affect my work choices,0
Austria,30,female,rural,medium,no,no,I know something about it,0,I would probably vote for it,0,I would gain additional skills,0
Austria,47,male,rural,medium,yes,yes,I understand it fully,0,I would vote for it,0,None of the above,0
Austria,46,male,rural,low,yes,yes,I understand it fully,0,I would not vote,0,I would work less,0
Austria,30,female,urban,NA,no,yes,I know something about it,0,I would vote against it,0,I would spend more time with my family,0
Austria,39,male,rural,low,yes,yes,I know something about it,0,I would probably vote for it,0,None of the above,0
Austria,24,male,urban,high,yes,no,I have heard just a little about it,0,I would probably vote against it,0,I would work as a freelancer,0
Austria,52,male,rural,low,no,yes,I have heard just a little about it,0,I would probably vote for it,0,None of the above,0
Austria,21,female,rural,low,no,no,I have heard just a little about it,0,I would vote for it,0,I would gain additional skills,0
Austria,35,male,rural,medium,no,yes,I have heard just a little about it,0,I would probably vote against it,0,I would gain additional skills,0
Austria,20,female,urban,low,yes,no,I have heard just a little about it,0,I would vote for it,0,I would look for a different job,0
Austria,28,female,urban,high,yes,no,I have heard just a little about it,0,I would probably vote for it,0,I would spend more time with my family,0
Austria,29,male,urban,NA,yes,no,I know something about it,0,I would vote against it,0,A basic income would not affect my work choices,0
Austria,27,male,urban,high,yes,no,I understand it fully,0,I would probably vote for it,0,A basic income would not affect my work choices,0
Austria,27,female,rural,low,no,no,I have never heard of it,0,I would probably vote for it,0,I would gain additional skills,0
Austria,47,male,urban,high,yes,yes,I know something about it,0,I would probably vote for it,0,A basic income would not affect my work choices,0
Austria,20,male,rural,medium,yes,no,I know something about it,0,I would not vote,0,A basic income would not affect my work choices,0
Austria,39,female,rural,medium,no,yes,I have heard just a little about it,0,I would not vote,0,I would spend more time with my family,0
Austria,29,female,rural,medium,yes,no,I have heard just a little about it,0,I would vote against it,0,None of the above,0
Austria,36,female,rural,low,no,yes,I have never heard of it,0,I would probably vote for it,0,A basic income would not affect my work choices,0
Austria,53,male,rural,high,yes,yes,I have heard just a little about it,0,I would vote against it,0,I would spend more time with my family,0
Austria,33,male,rural,NA,yes,yes,I have never heard of it,0,I would vote for it,0,A basic income would not affect my work choices,0
Austria,22,male,rural,no,yes,yes,I have heard just a little about it,0,I would vote for it,0,I would gain additional skills,0
Austria,47,male,urban,no,no,yes,I have never heard of it,0,I would vote for it,0,None of the above,0
Austria,15,male,urban,low,no,no,I understand it fully,0,I would vote for it,0,I would work less,0
Austria,31,male,urban,medium,no,no,I have heard just a little about it,0,I would probably vote for it,0,I would gain additional skills,0
Austria,31,male,urban,NA,yes,no,I know something about it,0,I would vote for it,0,I would stop working,0
Austria,29,male,urban,medium,yes,no,I know something about it,0,I would probably vote against it,0,I would gain additional skills,0
Austria,51,male,urban,medium,yes,yes,I know something about it,0,I would probably vote for it,0,I would work less,0
Austria,30,male,rural,medium,yes,yes,I understand it fully,0,I would vote for it,0,I would spend more time with my family,0
Austria,34,female,rural,high,no,yes,I have heard just a little about it,0,I would probably vote against it,0,I would gain additional skills,0
Austria,40,male,urban,high,yes,no,I have heard just a little about it,0,I would probably vote for it,0,I would work as a freelancer,0
Austria,62,female,urban,medium,yes,yes,I have heard just a little about it,0,I would not vote,0,A basic income would not affect my work choices,0
Belgium,48,female,urban,medium,no,yes,I know something about it,0,I would probably vote for it,0,None of the above,0
Belgium,46,female,urban,low,no,no,I have heard just a little about it,0,I would vote for it,0,I would spend more time with my family,0
Belgium,40,male,urban,high,yes,yes,I know something about it,3,I would probably vote for it,4,None of the above,0
Belgium,42,male,rural,medium,yes,yes,I understand it fully,0,I would vote for it,0,None of the above,3
Belgium,52,female,urban,high,yes,no,I know something about it,0,I would not vote,0,I would work as a freelancer,0
Belgium,16,male,rural,high,yes,no,I know something about it,0,I would vote for it,0,I would spend more time with my family,0
Belgium,35,female,rural,high,yes,yes,I have heard just a little about it,0,I would probably vote for it,0,I would look for a different job,0
Belgium,22,male,urban,low,yes,no,I have heard just a little about it,0,I would vote against it,0,I would do more volunteering work,0
Belgium,37,female,rural,medium,yes,yes,I have never heard of it,0,I would not vote,0,I would work as a freelancer,0
Belgium,23,female,urban,high,no,no,I understand it fully,0,I would vote against it,0,None of the above,0
Belgium,51,female,rural,no,no,yes,I have heard just a little about it,0,I would not vote,0,I would look for a different job,0
Belgium,35,male,urban,medium,no,no,I know something about it,0,I would probably vote against it,0,I would work as a freelancer,0
Belgium,53,male,rural,low,no,yes,I have heard just a little about it,0,I would probably vote for it,1,A basic income would not affect my work choices,0
Belgium,24,female,urban,medium,no,no,I understand it fully,0,I would vote for it,0,None of the above,0
Belgium,62,female,urban,NA,no,yes,I have heard just a little about it,0,I would vote against it,0,I would do more volunteering work,0
Belgium,46,male,urban,medium,yes,yes,I know something about it,0,I would probably vote for it,0,None of the above,0
Belgium,54,male,urban,low,yes,yes,I have never heard of it,0,I would vote for it,0,I would do more volunteering work,0
Belgium,44,female,rural,medium,no,yes,I know something about it,0,I would vote for it,0,None of the above,0
Belgium,32,female,urban,high,no,no,I know something about it,0,I would probably vote against it,0,I would spend more time with my family,0
Belgium,19,female,urban,medium,no,no,I know something about it,0,I would vote against it,0,A basic income would not affect my work choices,0
Belgium,42,female,rural,no,yes,no,I know something about it,0,I would probably vote against it,0,I would look for a different job,0
Belgium,31,female,urban,high,yes,no,I have heard just a little about it,0,I would vote for it,0,A basic income would not affect my work choices,0
Belgium,14,female,urban,NA,no,no,I have never heard of it,0,I would not vote,0,A basic income would not affect my work choices,0
Belgium,30,female,urban,medium,no,no,I have heard just a little about it,0,I would not vote,0,None of the above,0
Belgium,41,female,rural,low,no,yes,I know something about it,0,I would vote for it,0,I would gain additional skills,0
Belgium,32,male,urban,low,yes,yes,I know something about it,0,I would not vote,0,I would spend more time with my family,0
Belgium,16,female,urban,low,no,no,I have never heard of it,0,I would not vote,0,I would spend more time with my family,0
Belgium,40,female,rural,high,yes,yes,I understand it fully,0,I would vote against it,0,A basic income would not affect my work choices,0
Belgium,40,female,rural,low,yes,yes,I have heard just a little about it,0,I would probably vote for it,0,I would do more volunteering work,0
Belgium,26,female,rural,no,yes,yes,I have never heard of it,0,I would vote against it,0,A basic income would not affect my work choices,0
Belgium,44,female,rural,no,no,yes,I know something about it,0,I would probably vote for it,0,I would look for a different job,0
Belgium,28,female,urban,low,yes,no,I understand it fully,0,I would vote against it,0,I would spend more time with my family,0
Belgium,40,female,rural,medium,no,yes,I have heard just a little about it,0,I would vote for it,0,I would spend more time with my family,0
Belgium,40,male,urban,high,yes,yes,I understand it fully,1,I would vote for it,0,I would do more volunteering work,0
Belgium,36,female,rural,medium,yes,no,I understand it fully,0,I would vote against it,0,I would look for a different job,0
Belgium,36,female,urban,high,yes,yes,I have never heard of it,1,I would probably vote against it,0,None of the above,0
Belgium,19,female,urban,medium,no,no,I have never heard of it,0,I would not vote,0,I would stop working,0
Belgium,45,female,urban,high,yes,yes,I have heard just a little about it,0,I would probably vote for it,1,I would spend more time with my family,0
Belgium,25,male,urban,medium,yes,no,I know something about it,0,I would probably vote for it,0,I would spend more time with my family,1
Belgium,15,female,rural,NA,no,no,I have never heard of it,0,I would not vote,0,I would spend more time with my family,0
Belgium,23,female,urban,no,no,no,I understand it fully,0,I would vote for it,0,I would work less,0
Belgium,33,male,urban,low,yes,no,I understand it fully,0,I would vote for it,0,I would look for a different job,0
Belgium,44,male,rural,NA,yes,yes,I have never heard of it,0,I would not vote,0,I would spend more time with my family,0
Belgium,27,female,urban,high,yes,yes,I have never heard of it,0,I would not vote,0,None of the above,0
Belgium,43,male,urban,NA,no,no,I have never heard of it,0,I would not vote,0,None of the above,0
Belgium,45,female,urban,high,yes,yes,I know something about it,0,I would vote for it,0,None of the above,0
Belgium,43,male,rural,high,yes,yes,I understand it fully,0,I would vote for it,0,I would spend more time with my family,0
Belgium,47,male,rural,high,yes,no,I know something about it,0,I would vote for it,0,A basic income would not affect my work choices,0
Belgium,48,male,rural,low,yes,yes,I understand it fully,0,I would vote for it,0,I would work less,0
Belgium,15,female,urban,medium,yes,no,I have heard just a little about it,0,I would probably vote for it,0,None of the above,0
Belgium,39,male,urban,high,yes,no,I have heard just a little about it,0,I would probably vote for it,0,I would do more volunteering work,0
Belgium,54,male,rural,medium,yes,no,I understand it fully,0,I would vote against it,0,I would work as a freelancer,0
Belgium,42,male,rural,high,yes,yes,I understand it fully,0,I would not vote,0,None of the above,0
Belgium,34,female,rural,low,no,yes,I have never heard of it,0,I would probably vote for it,0,None of the above,0
Belgium,16,male,urban,medium,no,no,I have heard just a little about it,0,I would vote for it,0,A basic income would not affect my work choices,0
Belgium,48,male,urban,low,yes,yes,I understand it fully,0,I would probably vote for it,0,I would look for a different job,0
Belgium,24,female,urban,medium,no,no,I know something about it,0,I would probably vote for it,0,I would look for a different job,0
Belgium,29,female,urban,high,yes,no,I have heard just a little about it,0,I would vote for it,0,I would work less,0
Belgium,23,female,urban,high,no,no,I know something about it,0,I would probably vote for it,0,I would gain additional skills,0
Belgium,42,female,rural,NA,yes,yes,I know something about it,0,I would vote against it,0,I would do more volunteering work,0
Belgium,45,female,urban,medium,yes,no,I have heard just a little about it,0,I would probably vote against it,0,I would look for a different job,0
Belgium,42,male,rural,NA,no,no,I have heard just a little about it,0,I would vote for it,0,I would work as a freelancer,0
Belgium,28,male,urban,high,yes,yes,I understand it fully,0,I would probably vote for it,0,I would work less,0
Belgium,22,male,urban,high,no,no,I have heard just a little about it,0,I would probably vote for it,0,I would look for a different job,0
Belgium,27,male,rural,medium,no,yes,I know something about it,0,I would vote for it,0,I would gain additional skills,0
Belgium,45,male,urban,medium,no,yes,I understand it fully,0,I would probably vote for it,0,I would work less,0
Belgium,52,male,rural,medium,yes,yes,I understand it fully,0,I would probably vote for it,0,I would stop working,0
Belgium,17,male,rural,low,no,no,I know something about it,0,I would vote for it,0,A basic income would not affect my work choices,0
Belgium,31,female,urban,high,no,no,I know something about it,0,I would vote for it,0,I would do more volunteering work,0
Belgium,25,female,urban,medium,yes,yes,I know something about it,0,I would vote for it,0,I would look for a different job,0
Belgium,21,male,urban,medium,yes,no,I understand it fully,0,I would not vote,0,I would gain additional skills,0
Belgium,25,male,urban,no,no,no,I have heard just a little about it,0,I would probably vote for it,0,I would gain additional skills,0
Belgium,38,male,urban,high,yes,yes,I know something about it,0,I would probably vote for it,0,I would gain additional skills,0
Belgium,47,male,rural,low,yes,yes,I know something about it,0,I would vote for it,0,I would look for a different job,0
Belgium,42,male,rural,low,yes,yes,I know something about it,0,I would probably vote against it,0,A basic income would not affect my work choices,0
Belgium,26,male,urban,low,yes,no,I have heard just a little about it,0,I would vote for it,0,I would spend more time with my family,0
Belgium,22,female,urban,medium,no,no,I know something about it,0,I would not vote,0,I would look for a different job,0
Belgium,38,male,urban,medium,yes,no,I have never heard of it,0,I would probably vote for it,0,A basic income would not affect my work choices,0
Belgium,43,female,rural,high,yes,yes,I have heard just a little about it,0,I would vote for it,0,None of the above,0
Belgium,42,female,urban,high,no,yes,I understand it fully,0,I would probably vote for it,0,I would look for a different job,0
Belgium,44,male,urban,medium,yes,no,I understand it fully,0,I would vote against it,0,I would do more volunteering work,0
Belgium,46,male,urban,high,no,no,I have heard just a little about it,0,I would probably vote for it,0,A basic income would not affect my work choices,0
Belgium,48,female,urban,medium,yes,no,I have heard just a little about it,0,I would probably vote against it,0,A basic income would not affect my work choices,0
Belgium,27,male,urban,low,yes,no,I have heard just a little about it,0,I would vote for it,0,None of the above,0
Belgium,32,male,urban,high,yes,no,I understand it fully,0,I would vote against it,0,I would look for a different job,0
Belgium,14,male,urban,NA,no,no,I have never heard of it,0,I would probably vote against it,0,I would gain additional skills,0
Belgium,21,male,rural,high,no,yes,I know something about it,0,I would probably vote for it,0,I would do more volunteering work,0
Belgium,19,male,rural,medium,no,no,I have heard just a little about it,0,I would vote against it,0,I would gain additional skills,0
Belgium,42,female,rural,low,no,yes,I have heard just a little about it,0,I would not vote,0,A basic income would not affect my work choices,0
Belgium,51,female,rural,low,no,yes,I have never heard of it,0,I would vote against it,0,A basic income would not affect my work choices,0
Belgium,21,female,urban,high,no,no,I know something about it,0,I would probably vote for it,0,I would spend more time with my family,0
Belgium,38,female,urban,high,no,yes,I know something about it,0,I would vote for it,0,I would stop working,0
Belgium,26,female,urban,medium,no,no,I understand it fully,0,I would probably vote for it,0,I would spend more time with my family,0
Belgium,48,female,urban,medium,yes,yes,I know something about it,0,I would probably vote against it,0,I would gain additional skills,0
Belgium,53,male,rural,low,no,yes,I have never heard of it,0,I would vote for it,0,I would work less,0
Belgium,20,male,rural,high,no,yes,I have heard just a little about it,0,I would not vote,0,I would work less,0
Belgium,56,male,urban,high,yes,yes,I understand it fully,0,I would probably vote against it,1,I would do more volunteering work,0
Belgium,40,male,urban,medium,yes,yes,I have never heard of it,0,I would probably vote against it,0,A basic income would not affect my work choices,0
Belgium,43,male,urban,medium,yes,yes,I understand it fully,1,I would probably vote for it,0,None of the above,0
Belgium,26,female,urban,low,no,no,I know something about it,0,I would probably vote for it,0,A basic income would not affect my work choices,1
Belgium,24,female,rural,medium,yes,no,I understand it fully,0,I would probably vote against it,0,None of the above,0
Belgium,25,female,urban,medium,yes,no,I have never heard of it,0,I would probably vote against it,0,A basic income would not affect my work choices,0
Belgium,39,male,rural,no,yes,no,I know something about it,0,I would probably vote for it,0,I would spend more time with my family,0
Belgium,45,female,rural,medium,yes,no,I know something about it,0,I would not vote,0,I would spend more time with my family,0
Belgium,33,male,urban,medium,yes,no,I have heard just a little about it,0,I would vote against it,0,I would stop working,0
Belgium,16,female,urban,NA,no,no,I have never heard of it,0,I would vote for it,0,I would do more volunteering work,0
Belgium,27,male,urban,NA,no,no,I have heard just a little about it,0,I would probably vote for it,0,None of the above,0
Belgium,56,female,urban,NA,no,no,I understand it fully,0,I would probably vote for it,0,I would look for a different job,0
Belgium,24,female,urban,high,yes,no,I know something about it,0,I would probably vote against it,0,I would look for a different job,0
Belgium,56,male,urban,medium,yes,yes,I know something about it,0,I would probably vote for it,0,A basic income would not affect my work choices,0
Belgium,25,male,urban,high,yes,yes,I know something about it,0,I would vote against it,0,A basic income would not affect my work choices,0
Belgium,45,male,urban,medium,no,yes,I have heard just a little about it,0,I would probably vote for it,0,I would spend more time with my family,0
Belgium,45,male,rural,high,yes,yes,I understand it fully,0,I would vote for it,0,A basic income would not affect my work choices,0
Belgium,50,male,urban,high,yes,yes,I understand it fully,0,I would vote for it,0,I would work less,0
Belgium,45,male,rural,high,yes,yes,I know something about it,0,I would probably vote for it,0,A basic income would not affect my work choices,0
Belgium,19,female,rural,high,no,no,I understand it fully,0,I would vote for it,0,I would spend more time with my family,0
Belgium,43,male,rural,high,yes,no,I have heard just a little about it,0,I would probably vote against it,0,A basic income would not affect my work choices,0
Belgium,41,female,urban,NA,yes,yes,I have never heard of it,0,I would probably vote for it,0,I would spend more time with my family,0
Belgium,23,female,rural,no,no,yes,I understand it fully,0,I would vote for it,0,I would spend more time with my family,0
Belgium,50,male,urban,medium,yes,yes,I know something about it,0,I would not vote,0,I would do more volunteering work,0
Belgium,20,male,urban,NA,no,no,I have heard just a little about it,0,I would vote for it,0,I would work less,0
Belgium,48,female,rural,low,no,yes,I have never heard of it,0,I would probably vote for it,0,A basic income would not affect my work choices,0
Belgium,31,female,rural,medium,no,yes,I understand it fully,0,I would probably vote against it,0,None of the above,0
Belgium,30,female,urban,high,yes,no,I have heard just a little about it,0,I would not vote,0,A basic income would not affect my work choices,0
Belgium,37,female,rural,low,yes,yes,I know something about it,0,I would probably vote against it,0,I would gain additional skills,0
Belgium,17,male,urban,low,no,no,I know something about it,0,I would probably vote for it,0,I would look for a different job,0
Belgium,33,male,urban,high,yes,yes,I understand it fully,0,I would probably vote against it,0,A basic income would not affect my work choices,0
Belgium,52,male,urban,low,yes,no,I have never heard of it,0,I would vote against it,0,I would work less,0
Belgium,36,male,urban,medium,yes,yes,I know something about it,0,I would probably vote for it,0,I would spend more time with my family,0
Belgium,47,male,urban,low,no,no,I have never heard of it,0,I would probably vote for it,0,I would look for a different job,0
Belgium,29,male,rural,medium,yes,no,I know something about it,0,I would probably vote for it,1,None of the above,0
Belgium,38,male,rural,low,yes,no,I understand it fully,0,I would vote for it,0,I would gain additional skills,0
Belgium,45,male,urban,high,yes,yes,I have heard just a little about it,0,I would not vote,0,I would work less,0
Belgium,43,male,urban,high,yes,no,I have heard just a little about it,0,I would not vote,0,None of the above,0
Belgium,32,male,urban,low,no,no,I have heard just a little about it,0,I would probably vote for it,0,I would spend more time with my family,0
Belgium,41,male,urban,medium,yes,yes,I have never heard of it,0,I would vote for it,0,I would spend more time with my family,0
Belgium,59,female,rural,high,no,yes,I understand it fully,0,I would probably vote for it,0,A basic income would not affect my work choices,0
Belgium,23,male,rural,high,no,no,I understand it fully,0,I would probably vote for it,0,A basic income would not affect my work choices,0
Belgium,30,female,urban,medium,yes,yes,I understand it fully,0,I would probably vote against it,0,I would do more volunteering work,0
Belgium,19,female,urban,medium,no,no,I have heard just a little about it,0,I would probably vote for it,0,I would look for a different job,0
Belgium,30,female,rural,low,no,no,I know something about it,0,I would probably vote for it,0,I would work less,0
Belgium,47,female,rural,high,yes,no,I know something about it,0,I would probably vote against it,0,I would spend more time with my family,0
Belgium,49,female,rural,low,no,yes,I have heard just a little about it,0,I would vote for it,0,I would look for a different job,0
Belgium,50,male,urban,low,yes,no,I understand it fully,0,I would vote against it,0,I would spend more time with my family,0
Belgium,48,male,urban,low,no,no,I understand it fully,0,I would vote for it,0,I would work less,0
Belgium,34,male,rural,low,yes,yes,I have heard just a little about it,0,I would probably vote against it,0,A basic income would not affect my work choices,0
Belgium,47,male,urban,medium,no,no,I know something about it,0,I would vote against it,0,A basic income would not affect my work choices,0
Belgium,28,female,rural,medium,yes,yes,I understand it fully,0,I would vote for it,0,A basic income would not affect my work choices,0
